Id,Predição
2935,0
3298,0
6683,0
5441,0
3945,0
7200,0
6524,0
5219,0
4558,0
4493,0
870,0
4823,0
3232,0
6940,0
3143,0
6194,0
6677,0
6141,0
5139,0
1788,0
5434,0
5809,0
3755,0
1236,0
3128,0
5797,0
1159,0
3368,0
2679,0
6427,0
5443,0
4340,0
7205,0
4544,0
1244,0
793,0
2326,0
6490,0
310,0
3359,0
3753,0
4485,0
5389,0
1303,0
229,0
657,0
161,0
1688,0
43,0
4753,0
4063,0
836,0
5414,0
3496,0
4780,0
364,0
3336,0
6628,0
7305,0
1958,0
5173,0
2918,0
7027,0
6562,0
6945,0
4739,0
4010,0
2354,0
5583,0
3314,0
637,0
7594,0
132,0
576,0
6836,0
696,0
7293,0
3166,0
6047,0
2886,0
138,0
2440,0
6609,0
3882,0
7662,0
6117,0
7378,0
702,0
2900,0
2197,0
234,0
7612,0
6580,0
1510,0
2401,0
3060,0
3758,0
3443,0
4034,0
7072,0
5917,0
4548,0
7492,0
2569,0
2280,0
5950,0
601,0
7540,0
1529,0
2112,0
1266,0
666,0
7217,0
3883,0
6471,0
6467,0
7972,0
4444,0
3629,0
296,0
6908,0
2251,0
5709,0
807,0
7816,0
3931,0
2115,0
1738,0
2457,0
5487,0
3129,0
7725,0
1797,0
4177,0
2086,0
3641,0
5646,0
7439,0
7408,0
595,0
1400,0
3306,0
6252,0
2292,0
2669,0
276,0
4932,0
3159,0
7505,0
7254,0
2249,0
1349,0
1508,0
2833,0
4841,0
6613,0
1077,0
2455,0
22,0
1952,0
3798,0
465,0
5014,0
7899,0
7778,0
6140,0
6685,0
799,0
1412,0
6096,0
1921,0
3233,0
3996,0
401,0
2257,0
544,1
3914,0
4981,0
4846,0
6387,0
4420,0
1857,0
6641,0
7112,0
6586,0
4044,0
7116,0
7097,0
2402,0
6572,0
6859,0
4761,0
2320,0
5303,0
1569,0
5182,0
7923,0
6916,0
62,0
5879,0
5640,0
7974,0
306,0
1443,0
1144,0
6124,0
4096,0
5540,0
5379,0
2084,0
3417,0
1545,0
3917,0
1249,0
6466,0
